storm,gauge_no,station,name,lat,lon,n_obs,obs_peak_m
ike,1a,8775870,Bob Hall Pier Corpus Christi,27.58,-97.2167,2101,1.6619999408721924
ike,2a,8775237,Port Aransas,27.8404,-97.073,2088,1.3170000314712524
ike,3a,8774770,Rockport,28.0217,-97.0467,2101,1.2070000171661377
ike,4a,8772447,USCG Freeport,28.9428,-95.3025,2101,2.1089999675750732
ike,5a,8770777,Manchester Houston,29.7247,-95.2656,2099,3.811000108718872
ike,6a,8770613,Morgans Point,29.6817,-94.985,1873,2.7820000648498535
ike,7a,8771013,Eagle Point,29.4813,-94.9172,2101,3.4179999828338623
ike,8a,8771450,Galveston Pier 21,29.31,-94.7933,2050,3.2049999237060547
ike,9a,8771510,Galveston Pleasure Pier,29.2849,-94.7894,2101,3.364000082015991
ike,10a,8771341,Galveston Bay Entrance North Jetty,29.3576,-94.726,1815,2.809999942779541
ike,11a,8766072,Freshwater Canal Locks,29.5541,-92.3082,2101,2.7100000381469727
ike,12a,8762075,Port Fourchon,29.0848,-90.1985,2037,1.3760000467300415
ike,13a,8761927,New Canal Station,30.0272,-90.1134,2101,1.593000054359436
ike,14a,8761305,Shell Beach,29.8681,-89.6733,2101,2.0490000247955322
ida,1b,8768094,Calcasieu Pass,29.7683,-93.3433,2221,0.47200000286102295
ida,2b,8767961,Bulk Terminal,30.19,-93.3,2221,0.5690000057220459
ida,3b,8766072,Freshwater Canal Locks,29.5541,-92.3082,2221,0.8389999866485596
ida,4b,8764314,Eugene Island,29.3667,-91.3833,2221,0.7730000019073486
ida,5b,8764227,LAWMA Amerada Pass,29.45,-91.3383,2221,0.6970000267028809
ida,6b,8762482,West Bank 1,29.7838,-90.42,2221,1.1699999570846558
ida,7b,8762075,Port Fourchon,29.1142,-90.1993,778,1.1180000305175781
ida,8b,8761955,Carrollton,29.9333,-90.135,2221,3.1700000762939453
ida,9b,8761927,New Canal Station,30.0272,-90.1133,2221,1.7760000228881836
ida,10b,8761724,Grand Isle,29.2633,-89.9567,2221,1.6490000486373901
ida,11b,8760922,Pilots Station East,28.9316,-89.4067,2221,1.3980000019073486
ida,12b,8760721,"Pilottown, LA",29.1793,-89.2588,2221,1.3450000286102295
ida,13b,8761305,Shell Beach,30.1267,-89.2217,2221,2.315999984741211
